latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,type,horizontalError,depthError,magError,magNst
40.981,-111.629166666667,9.26,0.98,md,11.0,72.0,0.07072,0.13,earthquake,0.36,1.31,0.497104074768841,5.0
47.5508333333333,-113.932666666667,16.37,0.08,ml,7.0,109.0,0.06111,0.08,earthquake,0.43,1.01,0.0707554147008702,2.0
35.54,-96.7565,6.44,0.5,ml,16.0,128.0,0.01349735136,0.11,EARTHQUAKE,0.48,0.3,0.05,3.0
38.8354988098145,-122.817001342773,1.77999997138977,0.71,md,7.0,96.0,0.01324,0.01,earthquake,0.41,1.39999998,0.25,10.0
47.4613333333333,-115.819833333333,0.79,1.09,ml,9.0,107.0,0.03223,0.04,EARTHQUAKE,0.52,0.73,0.349949351502656,2.0
-25.6613,-177.0642,95.745,4.9,mb,31.0,137.0,9.09,0.85,EARTHQUAKE,8.59,9.457,0.117,23.0
51.883,-178.139833333333,13.41,0.73,ml,7.0,117.0,0.02969,0.14,earthquake,0.83,0.56,0.304927461102857,7.0
60.3717,-150.7887,41.0,1.7,ml,20.0,88.0,0.05971,0.49,earthquake,0.48,1.1,0.159,12.5
44.569,-112.220666666667,6.19,1.16,ml,18.0,96.0,0.1264,0.15,earthquake,0.36,2.15,0.0739518707773799,13.0
32.7118333,-115.3636667,15.53,1.91,ml,33.0,68.0,0.02838,0.23,earthquake,0.3,0.44,0.167,21.0
63.5856,-148.0019,4.7,2.9,ml,20.0,88.0,0.05971,0.85,earthquake,0.48,0.3,0.159,12.5
35.898,-117.676,2.38,0.69,ml,24.0,43.0,0.05396,0.14,EARTHQUAKE,0.15,0.25,0.111,12.0
19.5498,-68.829,34.0,4.07,md,26.0,242.0,0.4434,0.57,earthquake,2.14,3.31,0.16,19.0
-23.9287,-175.3189,10.0,5.2,mb,64.0,59.0,6.964,0.75,earthquake,12.93,1.859,0.038,227.0
66.9088,-146.4021,0.0,2.3,ml,20.0,88.0,0.05971,1.44,earthquake,0.48,0.4,0.159,12.5
32.9861667,-115.9601667,9.73,1.55,ml,45.0,49.0,0.09936,0.17,earthquake,0.16,0.56,0.145,52.0
28.882,-98.36,6.7519,1.3,mlv,11.0,61.0,0.1,0.5,earthquake,0.0,3.425987720489502,0.2,9.0
-58.9109,-25.0396,10.0,4.6,mb,29.0,182.0,7.833,0.43,earthquake,14.48,1.937,0.109,25.0
63.3284,-145.5735,11.8,1.4,ml,20.0,88.0,0.05971,0.42,earthquake,0.48,0.3,0.159,12.5
31.527,-104.017,6.8689,1.3,ml,18.0,74.0,0.0,0.1,earthquake,0.8762998893214802,0.623349952922059,0.2,23.0
28.984,-98.165,5.0335,1.4,mlv,14.0,101.0,0.1,0.4,earthquake,0.0,3.702147960662842,0.2,11.0
29.04,-97.886,7.9535,1.2,ml,14.0,81.0,0.1,0.2,EARTHQUAKE,0.655774738115583,0.9366479862865316,0.1,5.0
36.7722,-116.2557,9.1,-0.4,ml,13.0,59.94999999999999,0.036,0.0701,earthquake,0.48,1.4,0.0,1.0
32.888,-100.968,4.7119,1.6,ml,15.0,71.0,0.0,0.1,EARTHQUAKE,0.4756269482046323,0.744111959752902,0.1,6.0
35.891,-117.6895,9.24,0.94,ml,27.0,43.0,0.06506,0.14,EARTHQUAKE,0.2,0.43,0.22,28.0
38.8143348693848,-122.796165466309,1.79999995231628,1.47,md,26.0,29.0,0.006393,0.03,earthquake,0.19,0.319999993,0.13,26.0
36.1195,-117.9141667,5.51,1.13,ml,30.0,48.0,0.0357,0.14,EARTHQUAKE,0.18,0.34,0.163,18.0
33.7133333,-116.8248333,16.59,0.8,ml,36.0,73.0,0.08658,0.17,earthquake,0.21,0.44,0.282,23.0
60.0211666666667,-153.040166666667,4.94,-0.88,ml,5.0,130.0,0.01193,0.14,earthquake,0.92,1.11,0.386521147751038,5.0
34.38616667,-97.45816667,7.0,0.78,ml,17.0,148.0,0.02609487929,0.22,earthquake,0.48,0.7,0.23,8.0
47.775,-118.73266666666666,-0.68,1.65,ml,16.0,52.0,0.3103,0.26,explosion,0.75,31.61,0.132143292223686,5.0
35.85416667,-96.664,7.19,0.48,ml,38.0,63.0,0.1349735136,0.15,earthquake,0.48,0.4,0.18,13.0
