accuracy	additional_scores	cv_folds	end_timestamp	experiment_name	feature_scaling	featureset	featureset_name	fold	folds_file	grid_objective	grid_score	grid_search	grid_search_cv_results	grid_search_folds	learner_name	min_feature_count	model_params	pearson	save_cv_folds	save_cv_models	scikit_learn_version	score	shuffle	start_timestamp	stratified_folds	task	test_set_name	test_set_size	total_time	train_set_name	train_set_size	use_folds_file_for_grid_search	using_folds_file	version
0.995	{}	None	02 Nov 2025 19:29:33.648466	sismo_clasificacion	both	"[""features""]"	features				0.0	False		5	KNeighborsClassifier	1	"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""metric_params"": null, ""n_jobs"": null, ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}"		True	False	0.24.2		True	02 Nov 2025 19:29:33.227983	True	evaluate	test	200	0:00:00.420483	train	800	True	False	2.5.0
0.995	{}	None	02 Nov 2025 19:29:33.960699	sismo_clasificacion	both	"[""features""]"	features				0.0	False		5	LogisticRegression	1	"{""C"": 1.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 1000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 123456789, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"		True	False	0.24.2		True	02 Nov 2025 19:29:33.655242	True	evaluate	test	200	0:00:00.305457	train	800	True	False	2.5.0
0.99	{}	None	02 Nov 2025 19:29:34.204571	sismo_clasificacion	both	"[""features""]"	features				0.0	False		5	DecisionTreeClassifier	1	"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_impurity_split"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""random_state"": 123456789, ""splitter"": ""best""}"		True	False	0.24.2		True	02 Nov 2025 19:29:33.963012	True	evaluate	test	200	0:00:00.241559	train	800	True	False	2.5.0
1.0	{}	None	02 Nov 2025 19:29:36.038438	sismo_clasificacion	both	"[""features""]"	features				0.0	False		5	RandomForestClassifier	1	"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""auto"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_impurity_split"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 500, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 123456789, ""verbose"": 0, ""warm_start"": false}"		True	False	0.24.2		True	02 Nov 2025 19:29:34.206886	True	evaluate	test	200	0:00:01.831552	train	800	True	False	2.5.0
0.995	{}	None	02 Nov 2025 19:29:36.202445	sismo_clasificacion	both	"[""features""]"	features				0.0	False		5	SVC	1	"{""C"": 1.0, ""break_ties"": false, ""cache_size"": 1000, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 3, ""gamma"": ""scale"", ""kernel"": ""rbf"", ""max_iter"": -1, ""probability"": false, ""random_state"": 123456789, ""shrinking"": true, ""tol"": 0.001, ""verbose"": false}"		True	False	0.24.2		True	02 Nov 2025 19:29:36.040472	True	evaluate	test	200	0:00:00.161973	train	800	True	False	2.5.0
